Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZP	2025-02-28 06:45:01.000	2025-02-28 06:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228054501.trn
OAZISDB	OAZMOLP	2025-02-28 07:00:01.000	2025-02-28 07:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228060001.trn
OAZISDB	OAZP	2025-02-28 07:00:01.000	2025-02-28 07:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228060001.trn
OAZISDB	OAZMOLP	2025-02-28 07:15:00.000	2025-02-28 07:15:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228061500.trn
OAZISDB	OAZP	2025-02-28 07:15:00.000	2025-02-28 07:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228061500.trn
OAZISDB	OAZMOLP	2025-02-28 07:30:01.000	2025-02-28 07:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228063001.trn
OAZISDB	OAZP	2025-02-28 07:30:01.000	2025-02-28 07:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228063001.trn
OAZISDB	OAZMOLP	2025-02-28 07:45:01.000	2025-02-28 07:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228064501.trn
OAZISDB	OAZP	2025-02-28 07:45:01.000	2025-02-28 07:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228064501.trn
OAZISDB	OAZMOLP	2025-02-28 08:00:01.000	2025-02-28 08:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228070001.trn
OAZISDB	OAZP	2025-02-28 08:00:01.000	2025-02-28 08:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228070001.trn
OAZISDB	OAZMOLP	2025-02-28 08:15:02.000	2025-02-28 08:15:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228071502.trn
OAZISDB	OAZP	2025-02-28 08:15:02.000	2025-02-28 08:15:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228071502.trn
OAZISDB	OAZP	2025-02-28 08:30:01.000	2025-02-28 08:30:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228073001.trn
OAZISDB	OAZMOLP	2025-02-28 08:30:01.000	2025-02-28 08:30:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228073001.trn
OAZISDB	OAZMOLP	2025-02-28 08:45:01.000	2025-02-28 08:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228074501.trn
OAZISDB	OAZP	2025-02-28 08:45:01.000	2025-02-28 08:45:07.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228074501.trn
OAZISDB	OAZMOLP	2025-02-28 09:00:00.000	2025-02-28 09:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228080000.trn
OAZISDB	OAZP	2025-02-28 09:00:00.000	2025-02-28 09:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228080000.trn
OAZISDB	OAZMOLP	2025-02-28 09:15:01.000	2025-02-28 09:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228081501.trn
OAZISDB	OAZP	2025-02-28 09:15:01.000	2025-02-28 09:15:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228081501.trn
OAZISDB	OAZMOLP	2025-02-28 09:30:01.000	2025-02-28 09:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228083000.trn
OAZISDB	OAZP	2025-02-28 09:30:01.000	2025-02-28 09:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228083000.trn
